,FR_TIME,TIME_FRACTIONAL_MS,EXP_SEQ_NUM,TX_MSG_NUM,STEP_NUM,MODULE,BW,SF,CR,CRC_EN,LDRO,SYNC,IQ_INVERT,FREQUENCY,TX_POWER,DISABLE_AMPL,MSG_LEN,ACCOMP_INFO,DEV_ID,MODEM_ID,IF_CHAN,COUNT_MS,RSSI_CHANNEL,RSSI_SIGNAL,SNR,SNR_MAX,SNR_MIN
0,2000-01-01 00:07:13,0,1,7,190,9,7,10,1,1,0,18,0x00,864325000,1,0,4,0x00000000000000000000000000000000,10,0,2,3471574,126.00,117.00,-12.25,0.00,0.00
1,2000-01-01 00:09:59,0,1,7,270,9,7,10,1,1,0,18,0x00,864325000,1,0,4,0x00000000000000000000000000000000,10,0,2,1753338,125.00,116.00,-10.50,0.00,0.00
2,2000-01-01 00:12:45,0,1,7,350,9,7,10,1,1,0,18,0x00,864325000,1,0,4,0x00000000000000000000000000000000,10,0,2,303532,126.00,116.00,-10.50,0.00,0.00
3,2000-01-01 00:16:04,0,1,7,446,9,7,10,1,1,0,18,0x00,864325000,1,0,4,0x00000000000000000000000000000000,10,0,2,3851933,125.00,116.00,-10.50,0.00,0.00
4,2000-01-01 00:16:21,0,1,7,454,9,7,10,1,1,0,18,0x00,864325000,1,0,4,0x00000000000000000000000000000000,10,0,2,4136464,125.00,116.00,-10.50,0.00,0.00
5,2000-01-01 00:20:13,0,1,7,566,9,7,10,1,1,0,18,0x00,864325000,1,0,4,0x00000000000000000000000000000000,10,0,2,469248,125.00,116.00,-10.25,0.00,0.00
6,2000-01-01 00:20:46,0,1,7,582,9,7,10,1,1,0,18,0x00,864325000,1,0,4,0x00000000000000000000000000000000,10,0,2,1306712,125.00,116.00,-10.75,0.00,0.00
7,2000-01-01 00:27:07,0,1,7,766,9,7,10,1,1,0,18,0x00,864325000,1,0,4,0x00000000000000000000000000000000,10,0,2,3555414,125.00,116.00,-10.50,0.00,0.00
8,2000-01-01 00:27:24,0,1,7,774,9,7,10,1,1,0,18,0x00,864325000,1,0,4,0x00000000000000000000000000000000,10,0,2,3974152,127.00,122.00,-14.75,0.00,0.00
9,2000-01-01 00:30:10,0,1,7,854,9,7,10,1,1,0,18,0x00,864325000,1,0,4,0x00000000000000000000000000000000,10,0,2,2658553,126.00,116.00,-11.75,0.00,0.00
10,2000-01-01 00:33:46,0,1,7,958,9,7,10,1,1,0,18,0x00,864325000,1,0,4,0x00000000000000000000000000000000,10,0,2,2733346,125.00,116.00,-11.00,0.00,0.00
11,2000-01-01 00:38:44,0,1,7,1102,9,7,10,1,1,0,18,0x00,864325000,1,0,4,0x00000000000000000000000000000000,10,0,2,3962351,125.00,116.00,-10.75,0.00,0.00
12,2000-01-01 00:39:01,0,1,7,1110,9,7,10,1,1,0,18,0x00,864325000,1,0,4,0x00000000000000000000000000000000,10,0,2,86128,125.00,116.00,-10.50,0.00,0.00
13,2000-01-01 00:41:30,0,1,7,1182,9,7,10,1,1,0,18,0x00,864325000,1,0,4,0x00000000000000000000000000000000,10,0,2,3586332,125.00,116.00,-10.75,0.00,0.00
14,2000-01-01 00:44:17,0,1,7,1262,9,7,10,1,1,0,18,0x00,864325000,1,0,4,0x00000000000000000000000000000000,10,0,2,2539209,125.00,116.00,-11.00,0.00,0.00
15,2000-01-01 00:44:33,0,1,7,1270,9,7,10,1,1,0,18,0x00,864325000,1,0,4,0x00000000000000000000000000000000,10,0,2,2689507,126.00,116.00,-10.25,0.00,0.00
16,2000-01-01 00:45:40,0,1,7,1302,9,7,10,1,1,0,18,0x00,864325000,1,0,4,0x00000000000000000000000000000000,10,0,2,4230243,125.00,116.00,-11.25,0.00,0.00
17,2000-01-01 00:49:49,0,1,7,1422,9,7,10,1,1,0,18,0x00,864325000,1,0,4,0x00000000000000000000000000000000,10,0,2,713449,125.00,116.00,-10.75,0.00,0.00
18,2000-01-01 00:50:38,0,1,7,1446,9,7,10,1,1,0,18,0x00,864325000,1,0,4,0x00000000000000000000000000000000,10,0,2,1969646,125.00,116.00,-11.00,0.00,0.00
